do;32.70;65.41;130.8;261.6;523.3;1046.5;2093.0;4186.0;8372.0;16744
do#;34.65;69.30;138.6;277.2;554.4;1108.7;2217.5;4434.9;8869.8;17740
ré;36.71;73.42;146.8;293.7;587.3;1174.7;2349.3;4698.6;9397.3;18795
mib;38.89;77.78;155.6;311.1;622.3;1244.5;2489.0;4978.0;9956.1;19912
mi;41.20;82.41;164.8;329.6;659.3;1318.5;2637.0;5274.0;10548;21096
fa;43.65;87.31;174.6;349.2;698.5;1396.9;2793.8;5587.7;11175;22351
fa#;46.25;92.50;185.0;370.0;740.0;1480.0;2960.0;5919.9;11840;23680
sol;49.00;98.00;196.0;392.0;784.0;1568.0;3136.0;6271.9;12544;25088
lab;51.91;103.8;207.7;415.3;830.6;1661.2;3322.4;6644.9;13290;26580
la;55.00;110.0;220.0;440.0;880.0;1760.0;3520.0;7040.0;14080;28160
sib;58.27;116.5;233.1;466.2;932.3;1864.7;3729.3;7458.6;14917;29834
si;61.74;123.5;246.9;493.9;987.8;1975.5;3951.1;7902.1;15804;31609
